data,query proportion,latent dimension,recon loss,layers number,flows layers number,s dimension proportion,embedding dim,hidden dim,lambda kl,lambda sparsity,lambda mask,lambda clas,pretrain_epoch_rate,full embedding,dropout rate,normalisation,learning rate,flows,NMI,ARI,ASW label,ASW batch,PCR,ILS,GRA,score,f1 weighted,f1 macro,cost
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,True,0.0,,0.0005,spline,0.6029605668728,0.5282138631805201,0.6936087906360626,0.6790346555383109,0.6161370535847609,0.5574445265990037,0.7566212494683645,0.6334315294114032,0.44028815683145983,0.16606386594057512,231.64661407470703
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,True,0.0,batch,0.0001,quadraticspline,0.6029605668728,0.5282138631805201,0.631545290350914,0.7163260019172049,0.700203763032127,0.4746843499955363,0.7566212494683645,0.6300792978310668,0.4336588524202398,0.17722106272294091,186.3036448955536
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,True,0.0,batch,0.0001,spline,0.6029605668728,0.5282138631805201,0.6198538988828659,0.6649858993080661,0.4557552719061245,0.5440084341053779,0.7566212494683645,0.5960570262463027,0.7784975600308094,0.3586537179092436,290.8446559906006
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,True,0.0,batch,0.0005,quadraticspline,0.6029605668728,0.5282138631805201,0.674677699804306,0.7226349066205734,0.8104695749489365,0.5423362331035045,0.7566212494683645,0.6625591562855722,0.4293501336133018,0.18631817126690728,172.92697429656982
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,True,0.0,batch,0.0005,spline,0.6029605668728,0.5282138631805201,0.5894357934594154,0.7501291854687862,0.5210599714257058,0.5502495040687231,0.7566212494683645,0.6140957334206164,0.4739540734374587,0.23760740793799145,234.97421097755432
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,False,0.05,,0.0001,quadraticspline,0.6029605668728,0.5282138631805201,0.5103437742218375,0.655531095956712,0.8705841297052744,0.4414422590142259,0.7566212494683645,0.6236709912028192,0.3105224349031509,0.08399135219853261,177.4333062171936
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,False,0.05,,0.0001,spline,0.6029605668728,0.5282138631805201,0.5243637058883905,0.6283638157623811,0.8760823931355902,0.4453925476409495,0.7566212494683645,0.6231425917069994,0.24321180941725978,0.07715986425152789,230.35920882225037
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,False,0.05,,0.0005,quadraticspline,0.6029605668728,0.5282138631805201,0.5913549065589905,0.7435673542789366,0.9271148984580798,0.48122777094921243,0.7566212494683645,0.6615800871095576,0.2386067673576572,0.06971907581993096,181.53017497062683
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,False,0.05,,0.0005,spline,0.6029605668728,0.5282138631805201,0.6711436808109283,0.6740671759547722,0.5547827368768021,0.4587473433751326,0.7566212494683645,0.6066480880770457,0.3874321212516272,0.15097509459683975,199.2319140434265
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,False,0.05,batch,0.0001,quadraticspline,0.6029605668728,0.5282138631805201,0.5715639367699623,0.7465664071850089,0.4859204288130443,0.47632946059680903,0.7566212494683645,0.5954537018409299,0.6029284916890286,0.24862655029713418,271.96477794647217
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,False,0.05,batch,0.0001,spline,0.6029605668728,0.5282138631805201,0.5901765674352646,0.6897489079800881,0.7175441543842614,0.5103851665671055,0.7566212494683645,0.6279500679840577,0.6109942358287638,0.3187274617057946,291.1353008747101
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,False,0.05,batch,0.0005,quadraticspline,0.6029605668728,0.5282138631805201,0.6505826413631439,0.784813909884533,0.6204265982085357,0.5808752326724621,0.7566212494683645,0.6463562945214799,0.42362264160263824,0.21427831293370223,253.99496507644653
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,False,0.05,batch,0.0005,spline,0.6029605668728,0.5282138631805201,0.6270551681518555,0.7461063196385245,0.5644907498102496,0.5647757562737052,0.7566212494683645,0.6271748104851456,0.43606651426483545,0.17992953602255254,251.7418339252472
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,False,0.0,,0.0001,quadraticspline,0.6029605668728,0.5282138631805201,0.5530895181000233,0.5825137243257439,0.6242819011517635,0.45580870342942387,0.7566212494683645,0.5862127895040913,0.22385593134089346,0.11327612476930377,166.8251371383667
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,False,0.0,,0.0001,spline,0.6029605668728,0.5282138631805201,0.5596416741609573,0.5910767697971482,0.7578393308433573,0.4761425531827487,0.7566212494683645,0.6103565725008424,0.2386251963520539,0.08033991305340647,202.13982319831848
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,False,0.0,,0.0005,quadraticspline,0.6029605668728,0.5282138631805201,0.7280437648296356,0.5935114197574684,0.4715488284432692,0.5040715275771128,0.7566212494683645,0.5978530314470243,0.33086167920371035,0.11126728925623028,170.52562713623047
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,False,0.0,,0.0005,spline,0.6029605668728,0.5282138631805201,0.730719655752182,0.6061695456687445,0.6019180637159725,0.5433989991075717,0.7566212494683645,0.6242859919665936,0.38850462044336953,0.16003139916993836,206.0100178718567
